Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Strasse und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;Datum der Aufnahme der kommerziellen Stromeinspeisung der Erzeugungseinheit [Datum/jahr];Kraftwerksstatus (in Betrieb/vorlaeufig stillgelegt/saisonale KonservierungReservekraftwerk/Sonderfall);Energietraeger;"Spezifizierung ""Mehrere Energietraeger"" und ""Sonstige Energietraeger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energietraeger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energietraeger (Zuordnung zu einem Hauptenergietraeger bei Mehreren Energietraegern)";"Foerderberechtigt nach EEG
(ja/nein)";"Waermeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknuepfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemaess Netzbetreiber;Netz- oder Umspannebene des Anschlusses;Name Stromnetzbetreiber
;EEG-Anlagen < 10 MW;;;;;Bayern;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;13753,50 ;;;
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;7504,60 ;;;
;EEG-Anlagen < 10 MW;;;;;Baden-Wuerttemberg;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;6586,40 ;;;
;EEG-Anlagen < 10 MW;;;;;Nordrhein-Westfalen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;5656,30 ;;;
;EEG-Anlagen < 10 MW;;;;;Nordrhein-Westfalen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;4679,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Brandenburg;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;4408,90 ;;;
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;4349,40 ;;;
;EEG-Anlagen < 10 MW;;;;;Schleswig-Holstein;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;4170,90 ;;;
;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;01.01.1990;in Betrieb;Erdgas;;;Erdgas;Nein;;3760,00 ;;;
;EEG-Anlagen < 10 MW;;;;;Brandenburg;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;3109,20 ;;;
;EEG-Anlagen < 10 MW;;;;;Rheinland-Pfalz;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;2794,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Sachsen-Anhalt;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;2759,70 ;;;
;EEG-Anlagen < 10 MW;;;;;Mecklenburg-Vorpommern;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;2736,90 ;;;
;EEG-Anlagen < 10 MW;;;;;Rheinland-Pfalz;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;2394,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Hessen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;2315,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Sachsen-Anhalt;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;2280,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Mecklenburg-Vorpommern;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;2095,40 ;;;
;EEG-Anlagen < 10 MW;;;;;Sachsen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;2035,60 ;;;
;EEG-Anlagen < 10 MW;;;;;Bayern;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;1971,00 ;;;
;EEG-Anlagen < 10 MW;;;;;Bayern;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;1759,70 ;;;
;EEG-Anlagen < 10 MW;;;;;Thueringen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;1688,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Schleswig-Holstein;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;1682,50 ;;;
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;1614,60 ;;;
;EEG-Anlagen < 10 MW;;;;;Hessen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;1494,70 ;;;
BNA0263;PreussenElektra GmbH;Isar 2;84051;Essenbach;;Bayern;KKI 2;09.04.1988;in Betrieb;Kernenergie;;;Kernenergie;Nein;Nein;1410,00 ;Isar;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0157;PreussenElektra GmbH;Brokdorf;25576;Brokdorf;;Schleswig-Holstein;KBR;22.12.1986;in Betrieb;Kernenergie;;;Kernenergie;Nein;Nein;1410,00 ;Brokdorf;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0802;EnBW Energie Baden-Wuerttemberg AG;Kernkraftwerk Philippsburg 2;76661;Philippsburg;Rheinschanzinsel;Baden-Wuerttemberg;KKP 2;18.04.1985;Endgueltig Stillgelegt 2019 (ohne StA);Kernenergie;;;Kernenergie;Nein;Nein;1402,00 ;Philippsburg;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0251;PreussenElektra GmbH;Grohnde;31857;Emmerthal;;Niedersachsen;KWG;01.02.1985;in Betrieb;Kernenergie;;;Kernenergie;Nein;Nein;1360,00 ;Grohnde;Hoechstspannung (HoeS);TenneT TSO GmbH 
;EEG-Anlagen < 10 MW;;;;;Baden-Wuerttemberg;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;1351,50 ;;;
BNA0607;RWE Power AG;Kernkraftwerk Emsland;49811;Lingen;;Niedersachsen;KKE;20.06.1988;in Betrieb;Kernenergie;;;Kernenergie;Nein;Nein;1336,00 ;Hanekenfaehr;Hoechstspannung (HoeS);Amprion GmbH
BNA0686;EnBW Energie Baden-Wuerttemberg AG;Gemeinschaftskernkraftwerk Neckarwestheim II;74382;Neckarwestheim;Im Steinbruch;Baden-Wuerttemberg;GKN II;15.04.1989;in Betrieb;Kernenergie;;;Kernenergie;Nein;Nein;1310,00 ;Neckarwestheim;Hoechstspannung (HoeS);Transnet BW GmbH/DB Energie GmbH
BNA0382;RWE Power AG;Kernkraft Gundremmingen ;89355;Gundremmingen;;Bayern;C;02.11.1984;in Betrieb;Kernenergie;;;Kernenergie;Nein;Nein;1288,00 ;Gundelfingen;Hoechstspannung (HoeS);Amprion GmbH
BNA0381;RWE Power AG;Kernkraft Gundremmingen ;89355;Gundremmingen;;Bayern;B;01.01.1984;Endgueltig Stillgelegt 2017 (ohne StA);Kernenergie;;;Kernenergie;Nein;Nein;1284,00 ;Gundelfingen;Hoechstspannung (HoeS);Amprion GmbH
BNA0355;E.ON Kernkraft GmbH;Grafenrheinfeld;97506;Grafenrheinfeld;;Bayern;KKG;01.01.1990;Endgueltig Stillgelegt 2015 (mit StA);Kernenergie;;;Kernenergie;Nein;Nein;1275,00 ;Grafenrheinfeld;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA1401b;RWE Power AG;BoA 3;41517;Grevenbroich;Energiestrasse 101;Nordrhein-Westfalen;Neurath G;03.08.2012;in Betrieb;Braunkohle;;;Braunkohle;nein;nein;1060,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA1401a;RWE Power AG;BoA 2;41517;Grevenbroich;Energiestrasse 101;Nordrhein-Westfalen;Neurath F;08.07.2012;in Betrieb;Braunkohle;;;Braunkohle;nein;nein;1060,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA1949;Uniper Kraftwerke GmbH ;Datteln;45711;Datteln;;Nordrhein-Westfalen;Datteln 4;31.05.2020;in Betrieb;Mehrere Energietraeger;Steinkohle;Mineraloelprodukte;Steinkohle;Nein;Ja;1052,00 ;UW DO-Mengende;Hoechstspannung (HoeS);Amprion GmbH
BNA0350;Vattenfall Wasserkraft GmbH;Goldisthal;98746;Goldisthal;Am Rotseifenbach;Thueringen;PSS A;16.04.2004;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;1052,00 ;Altenfeld;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0652;Vattenfall Wasserkraft GmbH;Markersbach;08352;Markersbach;Oberbeckenstr. 8;Sachsen;PSS A;01.11.1979;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;1045,20 ;Roehrsdorf;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0709;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;K;30.08.2002;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;944,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA1019;Schluchseewerk Aktiengesellschaft;Wehr;79664;Wehr;Todtmooserstr. 150;Baden-Wuerttemberg;Wehr;09.05.1975;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;910,00 ;Kuehmoos;Hoechstspannung (HoeS);Amprion/Transnet BW
;EEG-Anlagen < 10 MW;;;;;Sachsen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;897,30 ;;;
BNA0606;RWE Generation SE;Emsland;49811;Lingen;;Niedersachsen;D;07.09.2010;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;887,00 ;Hanekenfaehr;Hoechstspannung (HoeS);Amprion GmbH
BNA0793;Uniper Kraftwerke GmbH;Heyden;32469;Petershagen;;Nordrhein-Westfalen;4;01.01.1987;Kohlestromvermarktungsverbot;Steinkohle;;;Steinkohle;Nein;Nein;875,00 ;Ovenstaedt;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0116;EnBW Energie Baden-Wuerttemberg AG;Braunkohlekraftwerk Lippendorf;04564;Boehlen;Werkstrasse;Sachsen;LIP S;01.12.1999;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;875,00 ;Pulgar;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0115;Lausitz Energie Kraftwerke AG;Lippendorf;04564;Boehlen;Werkstrasse;Sachsen;R;20.06.2000;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;875,00 ;Pulgar;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0124;Lausitz Energie Kraftwerke AG;Boxberg;02943;Boxberg;Am Kraftwerk 1;Sachsen;Q;01.10.2000;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;857,00 ;Baerwalde;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0994;Gemeinschaftskraftwerk Irsching GmbH;Gemeinschaftskraftwerk Irsching ;85088;Vohburg;;Bayern;5;01.01.2010;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;846,00 ;Irsching;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0646b;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestrasse 1;Baden-Wuerttemberg;Block 9;02.05.2015;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;843,00 ;DE00721570174000ZE000000398156VS0;Hoechstspannung (HoeS);TransnetBW GmbH
BNA0518b;EnBW Energie Baden-Wuerttemberg AG;Rheinhafen-Dampfkraftwerk;76189;Karlsruhe;Fettweisstrasse 42;Baden-Wuerttemberg;RDK 8;01.07.2014;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;834,00 ;Daxlanden;Hoechstspannung (HoeS);Transnet BW GmbH
;EEG-Anlagen < 10 MW;;;;;Thueringen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;818,00 ;;;
BNA1673;Vattenfall Heizkraftwerk Moorburg GmbH;Moorburg A;21079;Hamburg;Moorburger Schanze 2;Hamburg;A;31.08.2015;Kohlestromvermarktungsverbot;Steinkohle;Steinkohle;Heizoel, leicht;Steinkohle;Nein;Ja;800,00 ;;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1558;Vattenfall Heizkraftwerk Moorburg GmbH;Moorburg B;21079;Hamburg;Moorburger Schanze 2;Hamburg;B;28.02.2015;Kohlestromvermarktungsverbot;Steinkohle;Steinkohle;Heizoel, leicht;Steinkohle;Nein;Ja;800,00 ;;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0548a;Statkraft Markets GmbH;Knapsack Gas I;50351;Huerth-Knapsack;;Nordrhein-Westfalen;;01.01.2007;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;800,00 ;;Hoechstspannung (HoeS);Amprion GmbH
BNA0493;RWE Generation SE;Ibbenbueren;49479;Ibbenbueren;;Nordrhein-Westfalen;B;10.04.1987;Kohlestromvermarktungsverbot;Mehrere Energietraeger;Steinkohle;Klaerschlamm / Tiermehl;Steinkohle;Nein;Ja;794,00 ;Westerkappeln (380kV), Westerkappeln (110kV) und Ibbenbueren (110kV);Hoechstspannung (HoeS);Amprion GmbH, Westnetz GmbH
;EEG-Anlagen < 10 MW;;;;;Baden-Wuerttemberg;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;790,20 ;;;
BNA0434;EnBW Energie Baden-Wuerttemberg AG;Heizkraftwerk Heilbronn;74076;Heilbronn;Lichtenbergerstrasse 23;Baden-Wuerttemberg;HLB 7;01.12.1985;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;778,00 ;Grossgartach;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0413b;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;D;01.01.2014;Endgueltig Stillgelegt 2016 (ohne StA);Steinkohle;;;Steinkohle;Nein;Nein;765,00 ;Uentrop;Hoechstspannung (HoeS);Amprion GmbH
;EEG-Anlagen < 10 MW;;;;;Nordrhein-Westfalen;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;764,10 ;;;
BNA0413c;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;E;02.07.2014;Kohlestromvermarktungsverbot;Steinkohle;;;Steinkohle;Nein;Nein;763,70 ;Uentrop (380kV), Lippborg (110kV) und Unna (110kV);Hoechstspannung (HoeS);Amprion GmbH, Westnetz GmbH
BNA1061;Uniper Kraftwerke GmbH;Wilhelmshaven;26386;Wilhelmshaven;;Niedersachsen;1;01.01.1976;in Betrieb;Steinkohle;;;Steinkohle;Nein;Nein;757,00 ;Maade;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0915;Lausitz Energie Kraftwerke AG;Schwarze Pumpe;03130;Spremberg;An der alten Ziegelei 1;Brandenburg;B;25.05.1998;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;750,00 ;Graustein;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0914;Lausitz Energie Kraftwerke AG;Schwarze Pumpe;03130;Spremberg;An der alten Ziegelei 1;Brandenburg;A;15.12.1997;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;750,00 ;Graustein;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1508;Trianel Kohlekraftwerk Luenen GmbH & Co. KG;Trianel Kohlekraftwerk Luenen;44536;Luenen;Frydagstr. 40;Nordrhein-Westfalen;;20.07.2013;in Betrieb;Steinkohle;Steinkohle;;Steinkohle;Nein;Ja;735,00 ;UA Lippe;Hoechstspannung (HoeS);Amprion GmbH
BNA1674;Onyx Germany MidCo GmbH;Kraftwerk Wilhelmshaven;26386;Wilhelmshaven;Niedersachsendamm;Niedersachsen;Kraftwerk Wilhelmshaven;30.10.2015;in Betrieb;Steinkohle;Steinkohle;Heizoel, leicht;Steinkohle;Nein;Nein;726,00 ;Maade;380;TenneT TSO GmbH
BNA0093;STEAG GmbH;Kraftwerk Bexbach;66450;Bexbach;Grubenstrasse;Saarland;BEX;01.01.1983;Gesetzlich an Stilllegung gehindert;Steinkohle;;;Steinkohle;Nein;Nein;726,00 ;Mittelbexbach;Hoechstspannung (HoeS);Amprion GmbH
BNA0216b;STEAG-EVN Walsum 10 Kraftwerksgesellsellschaft mbH;KW Walsum;47179;Duisburg;Dr. Wilhelm-Roelen-Str.129;Nordrhein-Westfalen;Walsum 10;20.12.2013;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;725,00 ;SA-Walsum;Hoechstspannung (HoeS);Amprion GmbH
BNA0067;STEAG GmbH;Bergkamen;59192;Bergkamen;Westenhellweg 111;Nordrhein-Westfalen;A;02.07.1981;in Betrieb;Steinkohle;;;Steinkohle;Nein;Nein;717,00 ;Gersteinwerk;Hoechstspannung (HoeS);Amprion GmbH
BNA0992;RWE Generation SE;KW Voerde;46562;Voerde;Frankfurter Str 430;Nordrhein-Westfalen;Block B;01.01.1985;Endgueltig Stillgelegt 2017 (mit StA);Steinkohle;;;Steinkohle;Nein;Nein;695,00 ;UA Moellen;Hoechstspannung (HoeS);Amprion GmbH
BNA0991;RWE Generation SE;KW Voerde;46562;Voerde;Frankfurter Str 430;Nordrhein-Westfalen;Block A;01.01.1982;Endgueltig Stillgelegt 2017 (mit StA);Steinkohle;;;Steinkohle;Nein;Nein;695,00 ;UA Moellen;Hoechstspannung (HoeS);Amprion GmbH
BNA0464;Kraftwerk Mehrum GmbH;KWM;31249;Hohenhameln OT Mehrum;;Niedersachsen;Block3;01.06.1979;in Betrieb;Steinkohle;;;Steinkohle;Nein;Nein;690,00 ;UW-Mehrum;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0335;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;F;01.01.1979;Endgueltig Stillgelegt 2014 (mit StA);Steinkohle;;;Steinkohle;Nein;Nein;676,00 ;Scholven;Hoechstspannung (HoeS);Amprion GmbH
BNA1027;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;G;14.02.1974;in Betrieb;Mehrere Energietraeger;Braunkohle;Erdgas / Papierschlamm;Braunkohle;Nein;Ja;663,00 ;Oberzier;Hoechstspannung (HoeS);Amprion GmbH
BNA1028;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;H;18.01.1975;in Betrieb;Mehrere Energietraeger;Braunkohle;Erdgas / Papierschlamm;Braunkohle;Nein;Ja;656,00 ;Oberzier;Hoechstspannung (HoeS);Amprion GmbH
BNA0820;Steag GmbH;Weiher;66287;Quierschied;Holzer Strasse;Saarland;Weiher III;24.09.1976;Gesetzlich an Stilllegung gehindert;Steinkohle;;;Steinkohle;Nein;ja;655,60 ;UA Uchtelfangen;Hoechstspannung (HoeS);Amprion GmbH
BNA0707;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;H;16.09.1974;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;648,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA1404;Lausitz Energie Kraftwerke AG;Boxberg;02943;Boxberg;Am Kraftwerk 1;Sachsen;R;06.11.2012;in Betrieb;Braunkohle;;;Braunkohle;Nein;Nein;640,00 ;UW Baerwalde;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0708;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;G;23.10.1974;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;628,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA1046a;RWE Generation SE;Gersteinwerk;59368;Werne;;Nordrhein-Westfalen;K2;01.06.1984;Endgueltig Stillgelegt 2019 (mit StA);Steinkohle;;;Steinkohle;Nein;Nein;614,00 ;Gersteinwerk (380kV), Gersteinwerk (110kV) und Muenster (110kV) ;380, 110;Amprion GmbH, Westnetz GmbH
BNA0699;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;D;24.06.1975;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;607,00 ;Opladen;Hoechstspannung (HoeS);Amprion GmbH
BNA1560;DanTysk Offshore Wind GmbH & Co. KG;DanTysk Sanbank;41517;Nordsee;Deutsche Bucht, 70 km vor Sylt;AWZ;;02.12.2014;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;604,80 ;;Hochspannung (HS);TenneT TSO GmbH
BNA0700;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;E;22.02.1976;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;604,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA1817;Stadtwerke Duesseldorf AG;GuD;40221;Duesseldorf;Auf der Lausward 75;Nordrhein-Westfalen;GuD F;22.01.2016;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;595,00 ;DE00056266802AO6G56M11SN51G21M24S;Hochspannung (HS);Netzgesellschaft Duessseldorf mbH
;EEG-Anlagen < 10 MW;;;;;Bayern;;01.01.1990;in Betrieb;Laufwasser;;;Laufwasser;Ja;;593,80 ;;;
BNA0199;RWE Generation SE;Dormagen;41539;Dormagen;;Nordrhein-Westfalen;GuD;01.07.2000;in Betrieb;Erdgas;Erdgas;Oel;Erdgas;Nein;Ja;586,00 ;Bayerwerk / Dormagen;Hochspannung (HS);Westnetz GmbH
BNA0374;Uniper Kraftwerke GmbH;Staudinger;63538;Grosskrotzenburg;;Hessen;4;01.01.1977;Gesetzlich an Stilllegung gehindert;Erdgas;;;Erdgas;Nein;Nein;580,00 ;Grosskrotzenburg;Hoechstspannung (HoeS);TenneT TSO GmbH 
;EEG-Anlagen < 10 MW;;;;;Schleswig-Holstein;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;571,00 ;;;
BNA0995;Uniper Kraftwerke GmbH;Ulrich Hartmann (Irsching);85088;Vohburg;;Bayern;4;01.01.2011;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;561,00 ;Irsching;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0778;EnBW Energie Baden-Wuerttemberg AG;Kopswerk II ;A-6794;Partenen;;Oesterreich;Masch. 1 bis 3;01.09.2008;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;525,00 ;Buers;Hoechstspannung (HoeS);Transnet BW GmbH
BNA1987;EnBW Hohe See GmbH & Co.KG;Windpark Hohe See;test;Nordsee;;AWZ;Windpark Hohe See;01.01.2019;In Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;521,90 ;;;
BNA0518a;EnBW Energie Baden-Wuerttemberg AG;Rheinhafen-Dampfkraftwerk;76189;Karlsruhe;Fettweisstrasse 42;Baden-Wuerttemberg;RDK 7;21.06.1985;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;517,00 ;Daxlanden;Hoechstspannung (HoeS);Transnet BW GmbH
;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;01.01.1990;in Betrieb;Mineraloelprodukte;;;Mineraloelprodukte;Nein;;516,50 ;;;
BNA0849;EnBW Energie Baden-Wuerttemberg AG;KNG Kraftwerk Rostock;18147;Rostock;Am Kuehlturm 1;Mecklenburg-Vorpommern;Rostock;01.10.1994;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;514,00 ;Bentwisch;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0377;Uniper Kraftwerke GmbH;Staudinger;63538;Grosskrotzenburg;;Hessen;5;01.01.1992;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;510,00 ;Grosskrotzenburg;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0906;TIWAG-Tiroler Wasserkraft AG;KW Silz;A-6424;Silz;;Oesterreich;Silz;06.04.1981;in Betrieb;Speicherwasser (ohne Pumpspeicher);;;Speicherwasser (ohne Pumpspeicher);Nein;Nein;500,00 ;UW Silz;Hoechstspannung (HoeS);TIWAG-Netz AG/APG/TenneT
BNA0614b;BASF SE;Kraftwerk Mitte;67056;Ludwigshafen;A 800;Rheinland-Pfalz;"GUD A 800 
GT 11, GT 12, DT 10";12.05.2005;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;497,50 ;W211;Hoechstspannung (HoeS);Amprion GmbH
;EEG-Anlagen < 10 MW;;;;;Saarland;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;489,90 ;;;
BNA0229;Uniper Kraftwerke GmbH;Waldeck 2;34549;Edertal Hemfurth-Edersee;Kraftwerkstrasse 10;Hessen;Waldeck 2;01.01.1974;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;480,00 ;Schaltanlage vor Ort;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA1093;Onyx Germany MidCo GmbH;Zolling;85406;Zolling;Leininger Str. 1;Bayern;Zolling Block 5;01.01.1985;in Betrieb;Mehrere Energietraeger;Steinkohle;Klaerschlamm, HSL, HEL;Steinkohle;Nein;Ja;472,00 ;Feld 1 / LS 275;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0790;Lausitz Energie Kraftwerke AG;KW Jaenschwalde;03185;Peitz;Kraftwerksstrasse;Brandenburg;F;09.03.1989;Sicherheitsbereitschaft;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Preilack;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0789;Lausitz Energie Kraftwerke AG;KW Jaenschwalde;03185;Peitz;Kraftwerksstrasse;Brandenburg;E;06.10.1987;Sicherheitsbereitschaft;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Preilack;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0788;Lausitz Energie Kraftwerke AG;KW Jaenschwalde;03185;Peitz;Kraftwerksstrasse;Brandenburg;D;06.10.1985;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Preilack;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0787;Lausitz Energie Kraftwerke AG;KW Jaenschwalde;03185;Peitz;Kraftwerksstrasse;Brandenburg;C;01.02.1984;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Preilack;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0786;Lausitz Energie Kraftwerke AG;KW Jaenschwalde;03185;Peitz;Kraftwerksstrasse;Brandenburg;B;29.11.1982;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Preilack;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0785;Lausitz Energie Kraftwerke AG;KW Jaenschwalde;03185;Peitz;Kraftwerksstrasse;Brandenburg;A;01.10.1981;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Preilack;Hoechstspannung (HoeS);50Hertz Transmission GmbH
